City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,lebu,-37.6167,-73.65,285.57,93,100,1.97,CL,1683862942
1,bilibino,68.0546,166.4372,274.66,96,100,1.36,RU,1683862826
2,ancud,-41.8697,-73.8203,285.33,98,100,2.94,CL,1683862943
3,port-aux-francais,-49.35,70.2167,281.24,92,100,21.14,TF,1683862944
4,yellowknife,62.456,-114.3525,288.44,38,75,2.06,CA,1683862944
5,edinburgh of the seven seas,-37.0676,-12.3116,290.31,87,94,12.53,SH,1683862945
6,tshabong,-26.05,22.45,289.85,36,84,3.79,BW,1683862946
7,lihue,21.9789,-159.3672,298.92,73,40,6.17,US,1683862946
8,alofi,-19.0595,-169.9187,301.09,74,40,5.66,NU,1683862947
9,punta arenas,-53.15,-70.9167,281.21,76,75,4.63,CL,1683862948
10,sheldon,43.1811,-95.8561,293.21,79,0,7.2,US,1683862948
11,albany,42.6001,-73.9662,289.7,71,74,1.87,US,1683862732
12,magadan,59.5667,150.8,280.67,78,46,2.45,RU,1683862950
13,merizo village,13.2658,144.6691,305.46,81,30,3.41,GU,1683862951
14,aasiaat,68.7098,-52.8699,269.58,94,100,3.24,GL,1683862951
15,vikulovo,56.8167,70.6107,279.21,44,0,3.67,RU,1683862716
16,waitangi,-43.9535,-176.5597,282.49,83,61,1.79,NZ,1683862744
17,tazovsky,67.4667,78.7,260.31,88,54,3.94,RU,1683862953
18,cape coast,5.1053,-1.2466,300.52,83,91,2.27,GH,1683862954
19,iqaluit,63.7506,-68.5145,265.0,93,20,1.54,CA,1683862955
20,blackmans bay,-43.0167,147.3167,289.22,54,74,2.02,AU,1683862955
21,grytviken,-54.2811,-36.5092,268.71,65,1,2.54,GS,1683862956
22,taulaga,-11.0553,-171.0883,301.71,71,62,5.03,AS,1683862957
23,isafjordur,66.0755,-23.124,278.85,97,100,2.41,IS,1683862957
24,weno,7.4515,151.8468,305.12,70,75,3.09,FM,1683862958
25,tiksi,71.6872,128.8694,263.99,77,93,7.16,RU,1683862959
26,san patricio,28.017,-97.5169,300.28,93,5,5.73,US,1683862960
27,udachny,66.4167,112.4,278.4,44,100,7.43,RU,1683862816
28,bacuyangan,9.637,122.4721,302.89,72,100,2.66,PH,1683862961
29,okahao,-17.885,15.0667,292.96,32,92,2.27,NA,1683862962
30,parabel',58.6978,81.4825,274.41,57,79,5.93,RU,1683862962
31,ar ruways,24.1103,52.7306,303.39,49,1,0.23,AE,1683862963
32,invercargill,-46.4,168.35,285.01,79,83,3.88,NZ,1683862964
33,labuan,5.2767,115.2417,305.35,66,20,1.03,MY,1683862965
34,adamstown,-25.066,-130.1015,295.43,60,100,7.56,PN,1683862965
35,isoka,-10.1606,32.6335,287.28,97,45,0.8,ZM,1683862966
36,holstebro,56.3601,8.6161,282.04,80,99,3.3,DK,1683862956
37,buka,40.8108,69.1986,298.71,32,100,3.05,UZ,1683862967
38,hamilton,39.1834,-84.5333,294.62,81,0,2.57,US,1683862968
39,bubaque,11.2833,-15.8333,299.3,74,100,6.24,GW,1683862969
40,pocone,-16.2567,-56.6228,294.81,89,66,1.42,BR,1683862970
41,formosa do rio preto,-11.0483,-45.1931,293.78,91,99,1.07,BR,1683862971
42,barra do garcas,-15.89,-52.2567,294.0,70,83,1.48,BR,1683862972
43,west island,-12.1568,96.8225,303.14,74,40,5.66,CC,1683862972
44,colares,38.7992,-9.4469,288.76,75,0,7.15,PT,1683862973
45,itacoatiara,-3.1431,-58.4442,296.56,98,100,0.86,BR,1683862974
46,cabo san lucas,22.8909,-109.9124,297.93,49,20,8.23,MX,1683862975
47,puerto baquerizo moreno,-0.9,-89.6,299.15,88,84,3.78,EC,1683862975
48,sinabang,2.4803,96.3801,303.4,72,18,4.42,ID,1683862976
49,margaret river,-33.95,115.0667,290.45,56,90,5.99,AU,1683862977
50,santa elena de uairen,4.6167,-61.1333,292.92,97,99,0.4,VE,1683862977
51,longyearbyen,78.2186,15.6401,268.06,80,75,3.6,SJ,1683862768
52,inyonga,-6.7167,32.0667,290.25,93,64,1.28,TZ,1683862979
53,gadzhiyevo,69.2551,33.3362,276.77,100,100,3.15,RU,1683862979
54,kos,36.8933,27.2889,289.84,76,100,7.37,GR,1683862980
55,east london,-33.0153,27.9116,290.98,84,100,6.51,ZA,1683862981
56,gamay,12.3854,125.2979,302.69,72,96,3.41,PH,1683862981
57,at taj,24.2049,23.2857,293.26,39,56,3.06,LY,1683862982
58,ushuaia,-54.8,-68.3,283.96,54,75,1.54,AR,1683862983
59,carnarvon,-24.8667,113.6333,298.24,49,0,3.38,AU,1683862984
60,okha,53.5739,142.9478,280.41,65,7,2.0,RU,1683862986
61,gaigeturi,33.4644,126.3183,291.18,72,100,1.54,KR,1683862987
62,san sebastian de la gomera,28.0916,-17.1133,293.35,82,0,0.51,ES,1683862988
63,polyarnyy,69.1989,33.4478,277.07,100,100,3.08,RU,1683862988
64,charters towers,-20.1,146.2667,298.05,51,73,7.22,AU,1683862990
65,minas novas,-17.2186,-42.5903,294.02,77,95,1.11,BR,1683862991
66,suva,-18.1416,178.4415,301.86,70,40,3.09,FJ,1683862992
67,jamestown,42.097,-79.2353,289.95,64,0,0.45,US,1683862993
68,ribeira grande,38.5167,-28.7,289.14,85,56,4.02,PT,1683862993
69,cold lake,54.4502,-110.2017,290.12,48,75,1.54,CA,1683862994
70,badger,64.8,-147.5333,290.29,41,40,3.6,US,1683862995
71,mejit,10.2753,170.8646,300.44,81,79,7.52,MH,1683862995
72,conover,35.7065,-81.2187,292.48,87,40,1.54,US,1683862996
73,gandajika,-6.75,23.95,292.4,82,62,1.76,CD,1683862997
74,bredasdorp,-34.5322,20.0403,284.59,79,89,5.43,ZA,1683862997
75,maintirano,-18.0667,44.0167,296.71,81,99,3.06,MG,1683862998
76,sitka,57.0531,-135.33,286.09,50,100,7.2,US,1683863000
77,port mathurin,-19.6833,63.4167,298.66,77,70,10.07,MU,1683863001
78,mhamid,29.82,-5.72,298.07,18,6,1.3,MA,1683863001
79,filadelfia,39.9523,-75.1638,293.69,66,0,2.06,US,1683862763
80,atafu village,-8.5421,-172.5159,302.09,77,63,5.68,TK,1683863003
81,georgetown,5.4112,100.3354,307.12,70,20,2.06,MY,1683863003
82,saipan,15.1355,145.701,306.54,100,40,4.63,MP,1683863004
83,hawaiian paradise park,19.5933,-154.9731,297.06,81,100,4.12,US,1683863005
84,bali chak,22.3667,87.55,308.55,36,93,3.65,IN,1683863005
85,itamaraca,-7.7478,-34.8256,301.18,80,26,2.57,BR,1683863006
86,port lincoln,-34.7333,135.8667,289.61,57,12,4.81,AU,1683863007
87,sandnessjoen,66.0217,12.6316,280.44,94,75,1.54,NO,1683863008
88,qaqortoq,60.7167,-46.0333,274.8,87,100,2.2,GL,1683862803
89,puerto natales,-51.7236,-72.4875,280.77,77,95,4.45,CL,1683863009
90,kiunga,-6.1219,141.2906,304.82,63,86,0.97,PG,1683863010
91,tonota,-21.4833,27.4833,286.85,64,0,2.45,BW,1683863010
92,kailua-kona,19.6406,-155.9956,300.65,79,40,3.09,US,1683863011
93,dakhla,23.6848,-15.958,291.56,91,22,6.27,EH,1683862848
94,papao,-17.75,-149.55,300.97,95,100,11.21,PF,1683863013
95,shitanjing,39.2342,106.3439,292.58,19,1,6.52,CN,1683863013
96,olonkinbyen,70.9221,-8.7187,273.65,91,81,6.97,SJ,1683863014
97,puerto santa,-8.9906,-78.6456,295.03,88,100,3.68,PE,1683863015
98,riverside,33.7333,-116.0508,298.75,31,0,1.54,US,1683863016
99,college,64.8569,-147.8028,290.33,42,75,3.6,US,1683863017
100,coquimbo,-29.9533,-71.3436,287.0,100,100,1.03,CL,1683863018
101,benalla,-36.55,145.9833,289.43,50,100,0.25,AU,1683863018
102,egilsstadir,65.2653,-14.3948,282.1,71,75,7.72,IS,1683863019
103,zyryanskoye,56.8306,86.6258,276.24,94,100,5.07,RU,1683863020
104,kourou,5.1552,-52.6478,296.18,93,90,2.65,GF,1683863022
105,yuzhno-kurilsk,44.0306,145.8556,281.15,66,13,1.38,RU,1683863023
106,harper,4.375,-7.7169,300.3,84,99,2.76,LR,1683863023
107,floro,61.5996,5.0328,282.13,93,100,2.57,NO,1683863024
108,namibe,-15.1961,12.1522,295.34,77,16,2.65,AO,1683863025
109,bethel,41.3712,-73.414,290.08,72,0,1.54,US,1683863025
110,vilyuchinsk,52.9306,158.4028,280.3,86,99,1.61,RU,1683862897
111,papatowai,-46.5619,169.4708,284.39,90,100,4.24,NZ,1683863027
112,berlin,52.5244,13.4105,288.14,64,0,3.6,DE,1683862709
113,faranah,10.0404,-10.7434,297.2,74,43,4.15,GN,1683863028
114,macapa,0.0389,-51.0664,298.14,100,0,1.54,BR,1683863029
115,stanley,54.868,-1.6985,282.48,97,100,4.12,GB,1683863029
116,pingzhuang,42.0372,119.2889,297.14,17,59,6.87,CN,1683863030
117,dongdai,26.2419,119.6169,294.1,81,100,0.75,CN,1683863031
118,hermanus,-34.4187,19.2345,283.04,75,93,7.67,ZA,1683863032
119,anadyr,64.75,177.4833,277.43,70,0,2.0,RU,1683863032
120,vila velha,-20.3297,-40.2925,296.45,89,75,1.54,BR,1683862861
121,ceara mirim,-5.6344,-35.4256,299.28,83,20,1.54,BR,1683863034
122,sao joao da barra,-21.6403,-41.0511,294.71,84,100,2.93,BR,1683863034
123,sorong,-0.8833,131.25,301.13,79,95,3.81,ID,1683863035
124,cayiralan,39.3028,35.6439,283.82,80,100,1.63,TR,1683863036
125,constantia,44.1833,28.65,279.65,63,66,5.22,RO,1683862876
126,la mira,18.035,-102.3266,299.93,76,98,2.52,MX,1683863037
127,baruun-urt,46.6806,113.2792,285.74,17,77,5.69,MN,1683863038
128,ust-nera,64.5667,143.2,278.2,63,100,1.4,RU,1683863039
129,cabedelo,-6.9811,-34.8339,298.52,79,43,3.93,BR,1683863039
130,la ronge,55.1001,-105.2842,287.29,44,40,1.54,CA,1683863040
131,st. john's,47.5649,-52.7093,276.64,66,40,8.75,CA,1683863041
132,enewetak,11.3474,162.3373,301.03,81,90,7.13,MH,1683863042
133,catemaco,18.4167,-95.1167,299.27,67,82,1.71,MX,1683863043
134,saint john,45.2727,-66.0677,280.15,75,0,1.03,CA,1683863044
135,petropavlovsk-kamchatsky,53.0452,158.6483,279.48,65,75,4.0,RU,1683862809
136,caleta de carquin,-11.0925,-77.6267,294.56,84,99,3.65,PE,1683863045
137,bridgewater,44.3835,-64.5155,279.97,93,55,2.57,CA,1683863046
138,sisimiut,66.9395,-53.6735,270.28,84,100,5.7,GL,1683862881
139,xanthi,41.1414,24.8836,285.82,74,100,2.3,GR,1683862919
140,santa marta de ortigueira,43.6833,-7.85,286.62,82,90,0.45,ES,1683863048
141,ilulissat,69.2167,-51.1,270.16,93,100,6.17,GL,1683863048
142,charlestown,-32.95,151.6667,296.54,62,0,0.45,AU,1683863049
143,vernon,50.2581,-119.2691,293.35,37,27,0.51,CA,1683863050
144,vadso,70.0744,29.7487,279.64,100,75,5.66,NO,1683863051
145,huarmey,-10.0681,-78.1522,295.14,87,100,3.96,PE,1683863051
146,avarua,-21.2078,-159.775,299.18,78,75,7.2,CK,1683863052
147,fale old settlement,-9.3852,-171.2468,301.93,76,25,5.98,TK,1683863053
148,wailua homesteads,22.0669,-159.378,298.59,73,40,6.17,US,1683863053
149,kolonia,50.9333,6.95,286.46,93,100,1.54,DE,1683862809
150,bu'aale,1.0833,42.5833,297.27,91,99,3.29,SO,1683863055
151,novokuznetsk,53.7557,87.1099,284.37,50,99,5.22,RU,1683862922
152,lianghu,29.9915,120.8985,294.24,61,97,2.59,CN,1683863056
153,sydney,-33.8679,151.2073,297.2,55,20,3.09,AU,1683862484
154,camana,-16.6228,-72.7111,292.47,83,42,2.32,PE,1683863057
155,dawson creek,55.7666,-120.2362,291.95,37,40,8.23,CA,1683863058
156,knyaze-volkonskoye,48.4642,135.4567,294.34,30,0,3.05,RU,1683863059
157,stockelsdorf,53.8905,10.6258,287.12,71,100,2.06,DE,1683863060
158,callao,-12.0667,-77.15,295.31,73,100,5.14,PE,1683863062
159,bikenibeu village,1.3673,173.1241,305.13,70,20,4.12,KI,1683863063
160,hasaki,35.7333,140.8333,293.83,55,54,4.58,JP,1683863064
161,utrik,11.2278,169.8474,300.65,79,86,7.48,MH,1683863065
162,peniche,39.3558,-9.3811,287.75,84,0,11.86,PT,1683862866
163,hadibu,12.65,54.0333,301.72,71,100,0.5,YE,1683863066
164,sainte-anne-des-monts,49.124,-66.4924,282.08,53,76,4.12,CA,1683863067
165,zorritos,-3.6805,-80.6782,300.31,82,40,2.41,PE,1683863067
166,nouadhibou,20.931,-17.0347,292.14,94,75,8.23,MR,1683863068
167,ust'-kalmanka,52.1207,83.305,286.36,57,100,2.92,RU,1683863069
168,onega,63.9061,38.1404,279.65,87,83,2.33,RU,1683863071
169,chernyshevsk,52.5243,117.0174,286.36,22,3,6.34,RU,1683863074
170,oranjemund,-28.55,16.4333,285.96,78,100,10.22,NA,1683862806
171,happy valley-goose bay,53.3168,-60.3315,275.32,51,20,2.57,CA,1683863076
172,san-pedro,4.7485,-6.6363,300.19,85,100,2.22,CI,1683863077
173,dudinka,69.4058,86.1778,259.61,92,78,6.63,RU,1683863078
174,art khwajah,37.0857,69.4796,300.19,32,77,3.99,AF,1683863078
175,mount pearl,47.5166,-52.7813,276.18,66,40,8.75,CA,1683863083
176,kodiak,57.79,-152.4072,279.88,81,100,7.72,US,1683863083
177,katima mulilo,-17.5,24.2667,285.87,61,7,1.91,NA,1683863084
178,bulungu,-4.55,18.6,295.48,77,63,0.76,CD,1683863085
179,puerto deseado,-47.7503,-65.8938,285.58,52,100,7.66,AR,1683863085
180,ryotsu-minato,38.0833,138.4333,287.79,48,56,3.34,JP,1683863086
181,orimattila,60.8049,25.7296,282.25,51,12,2.18,FI,1683863087
182,launceston,-41.45,147.1667,290.16,73,77,5.14,AU,1683863087
183,ola,59.5833,151.2833,281.01,78,60,3.3,RU,1683863088
184,fort st. john,56.2499,-120.8529,292.09,39,75,2.57,CA,1683863089
185,lompoc,34.6391,-120.4579,287.47,89,40,6.69,US,1683863089
186,los osos,35.3111,-120.8324,290.69,87,0,6.17,US,1683863090
187,mahina,-17.5065,-149.489,301.02,69,75,1.54,PF,1683863095
188,la gi,10.6667,107.7833,304.4,65,97,4.53,VN,1683863095
189,zaraza,9.3503,-65.3245,298.78,73,73,3.01,VE,1683863096
190,cooper's town,26.8667,-77.5167,298.31,72,44,7.46,BS,1683863097
191,flying fish cove,-10.4217,105.6791,301.97,83,100,7.2,CX,1683863097
192,shenjiamen,29.9576,122.298,291.71,58,96,2.36,CN,1683863098
193,hondomachi-hondo,32.45,130.2,294.16,58,86,3.55,JP,1683863099
194,awjilah,29.1081,21.2869,292.96,46,0,1.62,LY,1683863099
195,churachandpur,24.3333,93.6667,304.66,23,100,1.3,IN,1683863100
196,turkan,40.3639,50.215,288.25,72,40,8.23,AZ,1683863101
197,crescent city,41.756,-124.2018,285.23,85,100,3.6,US,1683863102
198,belyy yar,53.6039,91.3903,283.09,71,0,7.0,RU,1683863102
199,whitehorse,60.7161,-135.0538,286.58,35,75,6.17,CA,1683863103
200,beitbridge,-22.2167,30.0,290.83,58,0,2.76,ZW,1683863104
201,dalbandin,28.8947,64.4101,307.07,10,1,3.38,PK,1683863104
202,acarau,-2.8856,-40.12,298.59,83,21,2.31,BR,1683863105
203,uryupinsk,50.8047,42.0138,281.27,93,100,4.99,RU,1683863106
204,az zulfi,26.2995,44.8154,303.12,16,9,5.09,SA,1683863106
205,antofagasta,-23.65,-70.4,287.75,83,21,0.99,CL,1683863082
206,chambersburg,39.9376,-77.6611,292.29,76,5,0.89,US,1683863108
207,san julian,21.0167,-102.1667,293.45,21,2,5.11,MX,1683863109
208,santa cruz del sur,20.7147,-77.9956,298.6,82,36,4.97,CU,1683863109
209,zambezi,-13.5432,23.1047,285.29,58,0,2.49,ZM,1683863110
210,marsh harbour,26.5412,-77.0636,298.16,73,32,7.32,BS,1683863111
211,monrovia,6.3005,-10.7969,298.02,86,100,2.14,LR,1683863111
212,kiknur,57.3034,47.2011,284.55,71,4,2.15,RU,1683863112
213,ronda,36.7423,-5.1671,284.85,88,1,1.93,ES,1683863113
214,new norfolk,-42.7826,147.0587,289.87,43,56,0.45,AU,1683863113
215,cozumel,20.5083,-86.9458,301.45,91,58,4.02,MX,1683863114
216,volodarskiy,46.4013,48.5409,284.12,65,0,6.07,RU,1683863115
217,ocos,14.5094,-92.1933,302.5,71,22,4.49,GT,1683863115
218,dipayal,29.2608,80.94,305.69,19,0,1.61,NP,1683863116
219,caraballeda,10.6112,-66.8522,298.19,83,85,3.6,VE,1683863118
220,prince rupert,54.3161,-130.3201,287.2,51,75,9.77,CA,1683863119
221,benghazi,32.1167,20.0667,291.12,80,3,4.18,LY,1683863120
222,kindu,-2.95,25.95,295.53,91,100,0.85,CD,1683863121
223,novobod,39.0108,70.1508,292.14,45,95,1.45,TJ,1683863121
224,kokkola,63.8385,23.1307,281.44,75,0,3.09,FI,1683862968
225,puerto ayora,-0.7393,-90.3518,299.57,96,44,3.13,EC,1683863123
226,tolanaro,-25.0319,46.9987,296.19,94,40,6.17,MG,1683863123
227,yanam,16.7333,82.2167,306.5,52,100,0.77,IN,1683863109
228,villa rica,33.7321,-84.9191,294.93,82,96,1.95,US,1683863125
229,lodja,-3.4833,23.4333,294.94,79,91,0.89,CD,1683863125
230,afaahiti,-17.75,-149.2833,300.08,94,100,10.98,PF,1683863126
231,westport,41.1415,-73.3579,292.14,73,0,1.54,US,1683863127
232,andergrove,-21.0833,149.1833,298.51,75,10,7.55,AU,1683863128
233,remire-montjoly,4.9167,-52.2667,296.17,100,100,0.0,GF,1683863128
234,mayna,54.1135,47.6231,283.57,64,100,5.19,RU,1683863129
235,labuan bajo,-8.4964,119.8877,304.17,53,53,1.93,ID,1683863130
236,'ain el hadjar,34.7585,0.1453,284.78,79,46,1.96,DZ,1683863130
237,tynda,55.1667,124.7167,282.84,60,100,2.86,RU,1683863131
238,jaguaruna,-28.615,-49.0256,287.03,81,55,3.83,BR,1683863121
239,praia da vitoria,38.7333,-27.0667,290.24,100,75,3.06,PT,1683863132
240,sidney,-33.8679,151.2073,296.83,55,20,3.09,AU,1683862885
241,keflavik,64.0049,-22.5624,283.1,100,100,4.63,IS,1683863134
242,fort mcmurray,56.7268,-111.381,292.92,30,75,2.06,CA,1683863134
243,alesund,62.4723,6.1549,284.68,94,100,0.0,NO,1683862964
244,valdivia,-39.8142,-73.2459,287.2,96,100,0.67,CL,1683863107
245,luderitz,-26.6481,15.1594,287.89,76,100,12.38,NA,1683863138
246,pudozh,61.8099,36.5345,283.43,58,6,2.15,RU,1683863139
247,la'ie,21.6477,-157.9253,298.77,72,42,3.13,US,1683863140
248,cill airne,52.05,-9.5167,280.85,98,44,1.58,IE,1683863143
249,port alfred,-33.5906,26.891,288.81,98,100,8.35,ZA,1683863144
250,arraial do cabo,-22.9661,-42.0278,295.64,74,96,4.8,BR,1683863145
251,verkhnyaya khava,51.8404,39.9413,282.19,81,84,4.15,RU,1683863146
252,tura,25.5198,90.2201,306.99,34,71,0.57,IN,1683863146
253,saint-remy-les-chevreuse,48.7071,2.0769,283.89,87,0,2.57,FR,1683863147
254,nemuro,43.3236,145.575,280.1,76,15,5.0,JP,1683863148
255,hantsavichy,52.758,26.43,281.35,72,4,1.72,BY,1683863148
256,dhidhdhoo,6.8833,73.1,301.86,76,99,2.79,MV,1683863149
257,touros,-5.1989,-35.4608,298.95,80,90,3.82,BR,1683863150
258,sur,22.5667,59.5289,306.8,40,0,3.41,OM,1683863153
259,uturoa,-16.7333,-151.4333,298.3,87,100,4.91,PF,1683863154
260,mahdia,35.5047,11.0622,289.12,85,79,2.41,TN,1683863156
261,chillan,-36.6066,-72.1034,285.41,75,45,3.48,CL,1683863157
262,thompson,55.7435,-97.8558,284.24,62,20,3.6,CA,1683863158
263,codrington,-38.2667,141.9667,288.36,58,59,3.53,AU,1683863158
264,cidreira,-30.1811,-50.2056,290.09,71,89,4.18,BR,1683863159
265,mount gambier,-37.8333,140.7667,289.12,50,3,2.43,AU,1683863160
266,rawson,-43.3002,-65.1023,289.07,51,100,2.64,AR,1683863160
267,la passe,45.5549,-0.8967,284.81,87,87,1.88,FR,1683863161
268,feijo,-8.1642,-70.3536,296.45,89,94,1.07,BR,1683863162
269,vorgashor,67.5833,63.95,266.64,86,20,3.09,RU,1683863163
270,kapa'a,22.0752,-159.319,299.33,73,40,6.17,US,1683863163
271,pisco,-13.7,-76.2167,293.18,77,100,4.12,PE,1683863166
272,barbalha,-7.3111,-39.3042,297.04,94,0,0.0,BR,1683863167
273,kingston,17.997,-76.7936,300.68,84,20,5.14,JM,1683863168
274,chonchi,-42.6128,-73.8092,285.99,98,100,1.2,CL,1683863168
275,kirakira,-10.4544,161.9205,302.34,74,72,5.47,SB,1683863169
276,timimoun,29.2639,0.231,301.36,15,0,5.14,DZ,1683863170
